E00170:22:H00WVALXX:1:2104:24111:34711	1000289	1000404	115
E00170:22:H00WVALXX:1:1107:26750:4051	1000310	1000405	95
E00170:22:H00WVALXX:1:2204:31338:60660	1000291	1000407	116
E00170:22:H00WVALXX:1:1212:29146:47158	1000369	1000410	41
E00121:9:H00UWALXX:7:1117:20214:11048	1000319	1000411	92
E00121:9:H00UWALXX:7:1103:13779:64176	1000326	1000415	89
E00170:22:H00WVALXX:1:2109:22660:43871	1000308	1000422	114
E00170:22:H00WVALXX:1:2121:28009:7813	1000376	1000423	47
E00125:9:H05MEALXX:7:2205:27714:36346	1000366	1000426	60
E00170:22:H00WVALXX:1:2117:17280:63701	1000360	1000427	67
E00170:22:H00WVALXX:1:2212:24406:68624	1000356	1000428	72
E00170:22:H00WVALXX:1:2203:31754:9167	1000321	1000430	109
E00125:9:H05MEALXX:7:2202:23025:47422	1000364	1000431	67
E00125:9:H05MEALXX:7:1113:22903:1924	1000389	1000438	49
E00121:9:H00UWALXX:7:1106:29562:2979	1000371	1000439	68
E00170:22:H00WVALXX:1:1221:23878:68132	1000373	1000441	68
E00170:22:H00WVALXX:1:1214:15189:32057	1000325	1000442	117
E00170:22:H00WVALXX:1:1108:10470:32004	1000357	1000445	88
E00170:22:H00WVALXX:1:2103:27177:34430	1000403	1000446	43
E00170:22:H00WVALXX:1:1102:6866:71999	1000385	1000447	62
E00170:22:H00WVALXX:1:2212:19036:64070	1000399	1000449	50
E00121:9:H00UWALXX:7:1106:13180:49813	1000396	1000450	54
E00170:22:H00WVALXX:1:2119:26862:37647	1000398	1000451	53
E00170:22:H00WVALXX:1:1216:32871:36276	1000359	1000452	93
E00125:9:H05MEALXX:7:1115:30536:2487	1000397	1000453	56
E00170:22:H00WVALXX:1:1103:2279:4631	1000383	1000454	71
E00170:22:H00WVALXX:1:2201:19046:64826	1000406	1000455	49
E00125:9:H05MEALXX:7:1111:12134:69415	1000388	1000456	68
E00170:22:H00WVALXX:1:1110:18031:37542	1000400	1000457	57
E00121:9:H00UWALXX:7:1115:3527:52643	1000443	1000458	15
E00170:22:H00WVALXX:1:1104:24598:38333	1000363	1000459	96
E00170:22:H00WVALXX:1:1115:2076:50270	1000395	1000461	66
E00121:9:H00UWALXX:7:1115:13383:56669	1000381	1000462	81
E00121:9:H00UWALXX:7:1118:9556:4227	1000354	1000463	109
E00121:9:H00UWALXX:7:1108:4065:40495	1000464	1000467	3
E00170:22:H00WVALXX:1:1109:19138:50287	1000465	1000468	3
E00170:22:H00WVALXX:1:1109:19199:50252	1000466	1000469	3
E00121:9:H00UWALXX:7:1113:4410:11347	1000412	1000472	60
E00170:22:H00WVALXX:1:2116:32485:2135	1000417	1000473	56
E00170:22:H00WVALXX:1:2201:3659:55579	1000418	1000474	56
E00170:22:H00WVALXX:1:2201:3659:55614	1000419	1000475	56
E00121:9:H00UWALXX:7:1107:32221:33674	1000384	1000478	94
E00170:22:H00WVALXX:1:2103:21665:5159	1000432	1000479	47
E00170:22:H00WVALXX:1:1101:20538:20542	1000380	1000482	102
E00125:9:H05MEALXX:7:2119:21767:66690	1000421	1000487	66
E00170:22:H00WVALXX:1:1215:18234:9800	1000362	1000489	127
E00170:22:H00WVALXX:1:2123:27704:55315	1000429	1000490	61
E00121:9:H00UWALXX:7:1114:3730:44240	1000386	1000491	105
E00121:9:H00UWALXX:7:1119:27136:30457	1000416	1000492	76
E00170:22:H00WVALXX:1:1114:17666:56564	1000424	1000493	69
E00170:22:H00WVALXX:1:1114:17676:56546	1000425	1000494	69
E00121:9:H00UWALXX:7:1108:9241:60853	1000434	1000495	61
E00170:22:H00WVALXX:1:1202:12540:6653	1000435	1000496	61
E00170:22:H00WVALXX:1:2109:11109:33920	1000409	1000497	88
E00121:9:H00UWALXX:7:1111:19625:34465	1000413	1000498	85
E00125:9:H05MEALXX:7:2111:12591:17254	1000391	1000503	112
E00125:9:H05MEALXX:7:2217:29765:20102	1000437	1000505	68
E00170:22:H00WVALXX:1:2124:24862:43537	1000414	1000512	98
E00170:22:H00WVALXX:1:2222:11089:5757	1000460	1000513	53
E00170:22:H00WVALXX:1:1123:26030:9132	1000433	1000521	88
E00121:9:H00UWALXX:7:1105:12053:49549	1000480	1000523	43
E00125:9:H05MEALXX:7:2215:17301:40073	1000394	1000524	130
E00121:9:H00UWALXX:7:1110:16275:4579	1000486	1000525	39
E00121:9:H00UWALXX:7:1118:26456:9695	1000436	1000526	90
E00121:9:H00UWALXX:7:1105:9170:5598	1000471	1000528	57
E00170:22:H00WVALXX:1:2115:7851:1555	1000440	1000532	92
E00170:22:H00WVALXX:1:2105:6420:6038	1000408	1000535	127
E00170:22:H00WVALXX:1:2112:26283:61996	1000390	1000536	146
E00170:22:H00WVALXX:1:1212:18042:57812	1000420	1000540	120
E00121:9:H00UWALXX:7:1103:22071:20840	1000444	1000542	98
E00170:22:H00WVALXX:1:2216:23248:42746	1000488	1000545	57
E00170:22:H00WVALXX:1:1209:21696:43748	1000499	1000547	48
E00170:22:H00WVALXX:1:2202:23177:72017	1000481	1000548	67
E00170:22:H00WVALXX:1:1205:25776:26589	1000476	1000550	74
E00170:22:H00WVALXX:1:1219:14256:7690	1000500	1000552	52
E00170:22:H00WVALXX:1:1206:30059:32707	1000502	1000554	52
E00121:9:H00UWALXX:7:1113:28131:49022	1000470	1000557	87
E00170:22:H00WVALXX:1:2116:22386:15162	1000501	1000558	57
E00170:22:H00WVALXX:1:1219:6988:12191	1000519	1000562	43
E00125:9:H05MEALXX:7:1211:6998:52467	1000448	1000563	115
E00170:22:H00WVALXX:1:1109:3273:22915	1000510	1000568	58
E00170:22:H00WVALXX:1:1109:3304:22862	1000511	1000569	58
E00170:22:H00WVALXX:1:1203:20833:4772	1000483	1000570	87
E00170:22:H00WVALXX:1:2114:16194:50323	1000484	1000571	87
E00170:22:H00WVALXX:1:2110:17311:34465	1000485	1000574	89
E00170:22:H00WVALXX:1:1120:24121:67639	1000529	1000575	46
E00170:22:H00WVALXX:1:2102:15656:41409	1000539	1000576	37
E00170:22:H00WVALXX:1:1213:5415:45928	1000514	1000577	63
E00170:22:H00WVALXX:1:2201:28374:18784	1000549	1000578	29
E00170:22:H00WVALXX:1:2117:13220:46297	1000515	1000580	65
E00121:9:H00UWALXX:7:1108:4065:40495	1000581	1000584	3
E00125:9:H05MEALXX:7:1223:24872:38948	1000518	1000585	67
E00170:22:H00WVALXX:1:1109:19138:50287	1000582	1000586	4
E00170:22:H00WVALXX:1:1109:19199:50252	1000583	1000587	4
E00170:22:H00WVALXX:1:1218:28476:26273	1000516	1000590	74
E00170:22:H00WVALXX:1:2124:20904:10099	1000477	1000593	116
E00125:9:H05MEALXX:7:2205:12560:35942	1000507	1000594	87
E00125:9:H05MEALXX:7:1117:28110:60730	1000520	1000597	77
E00170:22:H00WVALXX:1:1124:9211:14916	1000527	1000601	74
E00125:9:H05MEALXX:7:2218:12581:5563	1000509	1000602	93
E00121:9:H00UWALXX:7:1113:30932:41884	1000517	1000603	86
E00170:22:H00WVALXX:1:2221:5222:41128	1000544	1000604	60
E00170:22:H00WVALXX:1:2121:25512:72193	1000506	1000607	101
